Cellline,RHEB,TIPIN,OR4A47,NUP133,CPNE8-AS1,PDIA4,RNU6-899P,NRXN1-DT,SMIM41,RPS12P2,IGHJ2,SLC2A3P2,CES4A,TCTE1,TAX1BP1,RPL32P26,PNCK,CNOT10-AS1,OR3A2,COL6A2,ZNF296,RNU7-179P,PTS,PIGFP2,SPSB3,CFAP90,DPF3,C19orf33,OR13C2,PDE4B-AS1,SBNO1-AS1,RNU6ATAC30P,SELENOS,LINC01535,SYT2,CHRM4,RNU6-1017P,LSP1P1,LINC02957,TMC5,DSG4,MTND2P4,PPP1R15B,LINC00355,IFI35,LINGO3,MTND6P32,PRKAR1B-AS1,TMEM274P,ZNF574,SNRPEP5,DUSP1,LINC01091,RNU6-1174P,RN7SL237P,ZCCHC18,NDP,MIR1537,RNA5SP324,CFAP418,OXCT1-AS1,OR10AG1,CPDP1,SCRG1,SLC25A15,MTMR2,SYN1,RNU6-892P,MIR1266,INTS6P1,WIPI2,VPS26C,RN7SL321P,TM4SF5,RN7SL273P,ENO1,USP53,DDA1,NDUFA3,CACNA2D2,SRSF3P6,POMT2,MIR4694,H2AC4,RBM14,LINC00934,IQCH,RCC2P4,CPA1,MIR6852,UQCRB,EEF1A1P12,LILRB2,TERF1P4,GSG1,MARK2,RAB26,PARVA,KIF24,NAA60
A2058,1.260050631,0.972830748,0.971139082,1.281728454,0.969876704,1.260050631,0.964023081,0.966209722,0.969876704,0.96034202,0.959831747,0.97343566,0.961111191,0.964941115,1.296843375,0.969876704,0.554727825,0.964865523,1.121036601,0.966147728,0.948326395,0.97343566,0.974536263,0.969634937,0.955256599,1.268293667,0.959831747,0.948326395,0.969634937,0.97343566,0.969876704,0.965002566,0.972830748,0.948326395,1.284472428,0.971139082,0.969876704,1.265177642,0.969634937,0.955256599,0.961916806,0.578843968,1.284472428,1.254436479,1.151603499,0.569337836,0.554727825,1.266230781,0.961518318,0.948326395,0.966209722,0.968888368,0.962410333,0.972532069,0.971880495,0.554727825,0.554727825,1.297663039,0.96034202,1.274325367,1.271585522,0.964023081,1.077939306,0.962410333,1.265177642,0.964023081,0.554727825,0.963493895,0.972830748,1.271585522,1.257796568,0.966147728,0.964865523,1.121036601,1.276170411,0.961518318,0.962410333,0.988832559,0.948326395,0.964865523,0.966209722,0.959831747,0.971139082,1.225002476,0.964023081,0.969876704,0.972830748,0.972532069,1.28526366,0.967745324,1.274325367,0.966209722,0.948326395,0.554727825,0.971099401,0.964023081,0.955256599,0.971139082,0.967745324,0.955256599
A2780,1.019451893,1.002113546,1.036840693,1.32237424,1.032397794,1.019451893,1.026846226,1.019549181,1.032397794,1.024172168,1.010999112,1.012948088,1.028410852,0.992430463,1.025344278,1.032397794,1.059753372,1.030958704,0.987540273,1.008450606,0.994828801,1.009886646,1.026846226,1.020284121,1.014997148,1.042057197,1.009908293,0.994828801,1.020284121,1.012948088,1.032397794,1.017468492,1.002113546,0.994828801,1.305552108,1.036840693,1.032397794,1.018064701,1.020284121,1.014997148,1.04337454,1.019291785,1.305552108,1.018064701,0.984961209,1.004067217,1.06473782,1.025344278,0.999839509,0.994828801,1.011664275,1.025116394,1.025939583,1.020044339,1.029990379,1.06473782,1.031179817,1.32237424,1.024172168,1.020527492,1.042057197,1.026846226,0.967298729,1.025939583,1.018064701,1.026846226,1.031179817,1.02843634,1.002113546,1.042057197,1.025344278,1.008450606,1.030958704,0.987540273,0.992430463,0.999839509,1.025939583,1.004067217,0.994828801,1.030958704,1.029979663,1.009908293,1.040324769,0.992430463,1.026846226,1.032397794,1.002113546,1.020044339,1.027552678,1.037041136,1.020527492,1.029979663,0.975927743,1.06473782,1.040547253,1.026846226,1.014997148,1.030968916,1.037041136,1.014997148
A375,1.122195805,1.032501041,1.110956233,1.266069533,1.127539969,1.179696825,1.111953226,1.096008746,1.052647907,1.09940817,0.783567569,1.12275272,1.078277223,0.75940587,1.112170323,1.125323924,0.709923719,1.111002417,1.02528883,0.77958273,1.012012095,1.030534443,0.854021039,1.012146204,0.983856346,1.14331338,0.801623674,1.012012095,1.114079187,1.12275272,1.06523322,0.823570425,1.110063956,1.012012095,1.238595171,1.110956233,1.06523322,1.068121533,1.0426936,1.074703234,0.846426907,1.052859232,1.238595171,1.093502978,1.034261404,0.762545723,0.857841268,1.031876048,1.030534443,1.012012095,1.093360574,1.099528699,0.834155992,1.110618486,1.281173975,0.857841268,0.676190551,1.266069533,1.09940817,1.110463865,1.116084485,1.111953226,1.015865287,0.834155992,1.107494477,1.144757158,0.819306914,0.821871041,1.077080097,1.116084485,1.112170323,0.77958273,1.034731761,1.02528883,0.75940587,1.030534443,0.834155992,1.242326246,1.012012095,1.034731761,0.817733477,0.801623674,0.840017158,0.794416776,1.044822352,1.06523322,1.032501041,1.065598735,1.070107269,1.073183938,1.110463865,0.817733477,1.012012095,0.857841268,1.078423571,1.044822352,1.024720733,0.840017158,1.073183938,1.074703234
A427,1.17332537,0.752150406,1.007133047,0.794463777,0.920249407,1.17332537,1.25615535,1.263662271,1.384774304,1.033069022,1.590247997,1.009810129,1.011328632,1.005553146,1.17332537,1.384774304,0.720281178,1.010210377,0.988293385,1.007472251,0.83495322,1.035188951,0.739230857,0.752087841,0.822520064,1.533879626,0.997556074,0.83495322,0.752087841,1.009810129,0.790621673,0.997556074,0.752150406,0.83495322,1.026306043,1.007133047,0.820589752,1.009668683,0.752087841,0.822520064,1.636245696,1.17332537,1.026306043,1.009668683,1.208218502,1.014543575,0.720281178,1.17332537,1.035188951,0.83495322,1.263662271,1.056636848,0.954288929,1.264269217,1.246909627,0.720281178,0.720281178,0.794463777,1.033069022,0.734519711,1.349952555,1.25615535,0.988293385,0.889533028,1.009668683,1.210490923,0.720281178,1.00733254,0.752150406,1.424410309,1.17332537,1.007472251,1.010210377,0.988293385,1.005553146,1.035188951,0.954288929,1.035011792,0.83495322,1.010210377,0.977658219,0.997556074,0.995077925,0.999430113,1.25615535,0.984908271,0.752150406,1.264269217,1.17332537,0.761898913,0.734519711,0.977658219,0.83495322,0.720281178,1.342656977,1.25615535,0.822520064,0.995077925,0.761898913,0.822520064
COLO-320-HSR,1.09185335,1.107575936,1.600520144,1.158096795,1.274656813,1.211257714,1.267874373,1.323192964,0.665481611,1.135132202,1.307585891,1.37782686,1.133977265,1.520709161,0.735077651,0.738183765,0.696092896,0.67945736,0.65539715,1.044697655,0.670642128,0.880175512,0.729738331,0.669950539,0.614614844,1.504050424,1.02568973,1.071799775,0.826247332,1.488927028,1.099737244,0.773774659,1.17502213,1.071799775,0.672872326,0.68219453,1.099737244,0.567233599,0.712784729,0.694189171,0.832325599,1.159128589,1.130550778,0.828937673,0.648616683,0.643216721,0.81201298,0.638328605,0.880175512,1.074830345,1.026460289,1.122586708,1.315212253,1.069926597,0.686789395,0.81201298,0.69094818,1.158096795,1.144119712,1.000585619,1.276631931,1.267874373,0.649299179,0.720869715,0.762970316,1.325220094,0.69094818,0.988897056,0.69441722,1.276631931,0.638328605,1.14373648,0.649955403,0.65539715,1.11623747,0.880175512,0.823269475,0.947648239,1.01746242,0.649955403,1.168494406,0.943409856,0.766467895,1.15816192,1.108242763,1.099737244,1.107575936,0.990440383,1.132881309,1.14460599,1.000585619,1.168494406,1.025755369,0.81201298,1.192751349,1.103725475,0.614614844,0.766467895,0.703318495,0.614614844
EFM-192A,1.208397177,0.986155076,0.788302068,1.199031361,0.774736932,1.208397177,0.746511957,0.999529577,1.23115198,0.997922498,1.19716797,0.755383189,1.025769108,1.228004869,0.741900397,1.23115198,1.067142145,1.018248471,0.735016972,0.747678068,1.39980016,0.747787677,0.813493746,1.013384517,1.017546421,1.27785552,1.189225379,1.39980016,0.988286938,0.755383189,1.23920029,1.30340487,0.986155076,1.281935686,1.199031361,0.788302068,1.23920029,1.038947942,0.988286938,1.017546421,0.75735186,1.212510237,1.199031361,1.038947942,0.729860214,0.738766277,1.067142145,0.741900397,0.747787677,1.39980016,1.011268668,1.221859067,1.042155959,1.032611962,0.763114078,1.067142145,1.062530517,1.199031361,0.997922498,1.81714738,1.230458684,0.746511957,0.706033864,1.042155959,1.038947942,0.813493746,1.062530517,0.764537604,0.986155076,1.230458684,0.741900397,0.747678068,0.748085827,0.735016972,1.228004869,0.747787677,1.042155959,0.738766277,1.333049602,0.748085827,1.010774939,1.189225379,0.764630164,1.131891521,0.826846565,1.23920029,0.986155076,1.032611962,1.212510237,1.160598645,1.81714738,1.010774939,1.333646121,1.067142145,0.742768809,0.826846565,1.017546421,0.764630164,1.160598645,1.017546421
ES-2,1.253707654,0.972267774,1.005545116,0.992790106,1.463830219,1.253707654,1.003035186,1.020213146,0.970591976,1.130642592,0.972827315,1.108656179,0.98621846,1.107845529,1.177726746,1.005614382,0.837254932,1.005111021,1.159239036,0.963703888,0.804876124,0.948866564,1.00350625,0.886558606,0.923245547,1.152190864,0.988097012,0.804876124,0.886558606,1.108656179,0.992373764,1.007226509,0.979274541,0.804876124,1.045699635,1.005545116,0.756268915,0.804817974,0.821903179,0.982475743,0.853413158,0.936576948,1.045699635,0.825868072,0.955594648,0.951610273,1.062103184,1.081669806,0.948866564,0.804876124,0.981777062,0.979025224,0.750041621,1.108500667,1.216394662,1.062103184,0.857414638,0.992790106,1.130642592,1.204940679,1.235614951,1.003035186,1.144777972,0.750041621,0.825868072,1.857562884,0.985296697,0.754296278,0.970743302,1.235614951,1.179198103,0.963703888,0.970844686,1.159239036,1.107845529,0.948866564,0.750041621,0.964826997,0.804876124,0.970844686,1.029666892,0.988097012,1.021078266,1.107845529,1.415481544,0.992373764,0.972267774,1.108500667,1.252060503,1.050690381,1.204940679,1.029666892,0.781861672,1.028842672,1.166904705,1.415481544,0.923245547,1.0580566,1.050690381,0.923245547
HCT-116,0.991730338,0.99360872,0.992371774,0.981573202,0.997140839,0.991730338,0.992371774,0.987485255,0.997140839,0.987608676,0.99337528,0.995174099,0.984689612,0.988455066,0.991730338,0.997140839,0.5858664,0.994411367,0.985174962,0.968922116,0.966175552,0.995174099,0.992371774,0.988345954,0.992694093,0.976676631,0.99337528,0.966175552,0.988345954,0.995174099,0.993478805,0.99337528,0.990892927,0.966175552,0.981573202,0.992371774,0.993478805,0.981702031,0.988345954,0.984522919,0.986171417,0.991730338,0.981573202,0.981702031,0.993787434,0.973132435,0.579814315,0.981221822,0.995174099,0.966175552,0.987485255,0.991525537,0.992888116,0.994839762,0.995043045,0.579814315,0.579814315,0.981573202,0.987608676,1.305263937,0.990985341,0.992371774,0.985174962,0.992888116,0.981702031,0.992371774,0.579814315,0.986211032,0.99360872,0.990985341,0.981221822,0.968922116,0.994411367,0.985174962,0.988455066,0.995174099,0.992888116,0.973132435,0.966175552,0.994411367,0.987166097,0.99337528,0.992371774,0.988455066,0.992371774,0.993478805,0.990892927,0.994839762,0.991730338,0.988231396,1.305263937,0.987166097,0.966175552,0.579814315,0.997140839,0.992371774,0.992694093,0.992371774,0.988231396,0.992694093
HT-144,1.169838284,1.096405809,0.839129482,1.059159319,1.092040748,1.169838284,0.913220895,1.077864574,1.046703817,0.804509315,0.963594746,0.817736939,1.070133979,1.037981158,1.127326314,1.083127998,0.475049523,1.218341554,0.930133709,0.901542806,1.003984487,0.849080568,0.770729765,0.97920802,1.211685548,1.200052698,1.020727289,1.003984487,1.03825666,0.817736939,1.060196719,1.020727289,1.096405809,1.003984487,1.104198205,0.839129482,1.060196719,1.101253326,0.984163386,0.794827153,0.815978249,1.181773039,1.104198205,1.113788685,1.09365177,1.008441553,0.475049523,1.059410541,0.849080568,1.003984487,1.053602723,1.086730829,0.881480087,1.272920401,1.185799155,0.475049523,0.47212979,1.059159319,0.803658185,1.066467958,1.118673635,0.913220895,1.084915196,0.881480087,1.113788685,0.770729765,0.47212979,0.798775966,1.096405809,1.118673635,1.024606835,0.901542806,1.044636857,0.930133709,1.037981158,0.849080568,0.881480087,1.008441553,1.003984487,1.044636857,1.043353948,1.020727289,1.001308593,1.020135583,0.913220895,1.060196719,1.096405809,1.272920401,1.202354299,0.816523972,1.066467958,1.043353948,1.003984487,0.475049523,1.080103311,0.913220895,1.211685548,1.001308593,0.816523972,1.211685548
HT-29,1.30588915,1.193236315,1.240119852,1.057631006,1.005527047,1.363103828,1.238477627,1.05613793,1.005527047,1.021212694,0.743338786,1.0103836,1.005020204,0.975981819,1.239100001,1.005527047,1.182144379,0.749245711,0.725001441,0.728158449,1.275163764,0.994359071,1.214799758,1.008223303,0.98392556,1.288855114,0.743338786,1.275163764,1.008223303,1.0103836,1.007469738,0.743338786,1.228775258,1.275163764,1.000944309,1.215118518,1.007469738,1.499241745,0.986567125,1.003899757,0.763688097,1.246863336,1.000944309,1.179845965,0.971085195,0.736315614,1.038118133,1.240452038,0.990502966,1.275163764,1.05613793,1.016153432,1.015226513,1.069671597,1.374598697,1.038118133,1.011800873,1.057631006,1.021212694,1.024677003,1.267802453,1.238477627,0.960140804,0.750523776,1.249720965,1.207885019,1.011800873,0.428843226,1.198669595,1.267802453,1.240452038,0.728158449,0.749245711,0.725001441,0.975981819,0.990502966,1.015226513,0.736315614,1.233987996,0.749245711,1.031462766,0.743338786,1.257615049,0.975981819,1.218986586,1.007469738,1.193236315,1.22758541,1.191425372,0.971048944,1.024677003,1.01352077,1.2449351,1.038118133,1.010311086,1.218986586,0.98392556,1.229490894,0.971048944,0.98392556
