drug_a,drug_b,cell_line,synergy_value
3385,104842,A2058,0.06825833
60750,104842,A2058,0.06812978
31703,6710780,A2058,0.068535045
36314,5311497,A2058,0.06865509
3385,4091,A2058,0.06791441
5746,6710780,A2058,0.068435244
126941,9887053,A2058,0.06781623
31703,36314,A2058,0.06858604
3385,126941,A2058,0.068352565
5743,9887053,A2058,0.06820735
31703,60700,A2058,0.06840964
4091,5746,A2058,0.06797211
5746,36462,A2058,0.068362266
4091,426756,A2058,0.06793622
104842,6710780,A2058,0.068291456
5746,104842,A2058,0.06827056
104842,426756,A2058,0.06813359
3385,426756,A2058,0.06826513
3385,5746,A2058,0.06830102
126941,5311497,A2058,0.06829624
60750,426756,A2058,0.06813655
31703,60750,A2058,0.0684129
5743,5311497,A2058,0.06868731
126941,426756,A2058,0.06799573
60750,5311497,A2058,0.06843707
3385,6710780,A2058,0.068422996
426756,6710780,A2058,0.06847967
36462,426756,A2058,0.06817831
5746,426756,A2058,0.06827739
5743,126941,A2058,0.068474256
60700,9887053,A2058,0.067848444
36462,5311497,A2058,0.06847883
31703,9887053,A2058,0.06819771
2907,60700,A2058,0.06794387
2907,36462,A2058,0.06799631
104842,9887053,A2058,0.06795408
60700,6710780,A2058,0.06818579
4091,104842,A2058,0.06792944
5743,426756,A2058,0.06838687
5743,36462,A2058,0.06847173
2907,5311497,A2058,0.06821191
2907,6710780,A2058,0.06806928
426756,5311497,A2058,0.068622306
60700,5311497,A2058,0.06832844
36462,9887053,A2058,0.06799882
5743,6710780,A2058,0.06854473
5743,36314,A2058,0.06859569
5746,31703,A2058,0.06836133
5743,31703,A2058,0.068470806
2907,4091,A2058,0.06756073
60700,126941,A2058,0.06811531
60700,104842,A2058,0.06802113
2907,5746,A2058,0.067947336
36462,60750,A2058,0.06821399
36314,36462,A2058,0.06843945
31703,36462,A2058,0.06846206
3385,60700,A2058,0.068297595
36462,6710780,A2058,0.06833617
2907,36314,A2058,0.068120256
60750,9887053,A2058,0.06795707
5311497,6710780,A2058,0.06834636
3385,36314,A2058,0.06847397
5746,126941,A2058,0.068364784
36314,426756,A2058,0.068354584
60700,60750,A2058,0.06806365
4091,60700,A2058,0.06796868
3385,5311497,A2058,0.06856562
36462,60700,A2058,0.06821075
4091,36314,A2058,0.06814508
36462,104842,A2058,0.068171516
60750,6710780,A2058,0.06829444
5311497,9887053,A2058,0.06800899
2907,60750,A2058,0.06794715
31703,5311497,A2058,0.06867771
3385,60750,A2058,0.068300866
3385,5743,A2058,0.06834592
104842,126941,A2058,0.06822096
4091,5311497,A2058,0.06823674
104842,5311497,A2058,0.06843406
31703,426756,A2058,0.0683772
4091,60750,A2058,0.06797193
4091,5743,A2058,0.068017006
2907,9887053,A2058,0.06773195
5743,60700,A2058,0.06841932
6710780,9887053,A2058,0.06806335
36314,9887053,A2058,0.068175085
60750,126941,A2058,0.06822398
5746,9887053,A2058,0.06809789
126941,6710780,A2058,0.068153605
36314,6710780,A2058,0.06851244
4091,9887053,A2058,0.06775673
60700,426756,A2058,0.06802791
36314,60750,A2058,0.06839026
31703,104842,A2058,0.0683704
5746,60750,A2058,0.06831311
2907,426756,A2058,0.06791142
5746,5311497,A2058,0.06857787
2907,126941,A2058,0.06799884
36314,126941,A2058,0.06844197
5743,104842,A2058,0.06838006
5746,36314,A2058,0.06848623
5746,60700,A2058,0.06830984
36314,104842,A2058,0.06834775
4091,126941,A2058,0.06802362
2907,31703,A2058,0.067995384
2907,3385,A2058,0.06759967
31703,126941,A2058,0.06846461
36314,60700,A2058,0.06838697
3385,9887053,A2058,0.068085626
3385,36462,A2058,0.06835002
4091,31703,A2058,0.06802021
4091,36462,A2058,0.06802111
2907,5743,A2058,0.067992195
426756,9887053,A2058,0.06814232
2907,104842,A2058,0.067904636
5743,5746,A2058,0.06842275
5743,60750,A2058,0.06842255
4091,6710780,A2058,0.06809409
36462,126941,A2058,0.06826571
3385,31703,A2058,0.06834913
3385,104842,A2780,0.06841768
60750,104842,A2780,0.068289086
31703,6710780,A2780,0.06869437
36314,5311497,A2780,0.06881441
3385,4091,A2780,0.06807376
5746,6710780,A2780,0.068594545
126941,9887053,A2780,0.06797554
31703,36314,A2780,0.06874535
3385,126941,A2780,0.06851184
5743,9887053,A2780,0.06836668
31703,60700,A2780,0.068568945
4091,5746,A2780,0.06813144
5746,36462,A2780,0.06852156
4091,426756,A2780,0.06809555
104842,6710780,A2780,0.068450734
5746,104842,A2780,0.0684299
104842,426756,A2780,0.068292886
3385,426756,A2780,0.06842446
3385,5746,A2780,0.068460345
126941,5311497,A2780,0.068455555
60750,426756,A2780,0.068295866
31703,60750,A2780,0.06857224
5743,5311497,A2780,0.06884664
126941,426756,A2780,0.06815505
60750,5311497,A2780,0.06859636
3385,6710780,A2780,0.068582304
426756,6710780,A2780,0.06863897
36462,426756,A2780,0.06833761
5746,426756,A2780,0.06843668
5743,126941,A2780,0.06863357
60700,9887053,A2780,0.06800775
36462,5311497,A2780,0.0686381
31703,9887053,A2780,0.068357006
2907,60700,A2780,0.068103194
2907,36462,A2780,0.06815562
104842,9887053,A2780,0.06811339
60700,6710780,A2780,0.06834507
4091,104842,A2780,0.06808877
5743,426756,A2780,0.068546176
5743,36462,A2780,0.06863101
2907,5311497,A2780,0.06837124
2907,6710780,A2780,0.06822859
426756,5311497,A2780,0.068781614
60700,5311497,A2780,0.06848773
36462,9887053,A2780,0.06815812
5743,6710780,A2780,0.068704
5743,36314,A2780,0.068755
5746,31703,A2780,0.068520635
5743,31703,A2780,0.0686301
2907,4091,A2780,0.06772004
60700,126941,A2780,0.06827466
60700,104842,A2780,0.06818044
2907,5746,A2780,0.068106666
36462,60750,A2780,0.06837334
36314,36462,A2780,0.06859875
31703,36462,A2780,0.068621404
3385,60700,A2780,0.06845689
36462,6710780,A2780,0.0684955
2907,36314,A2780,0.06827958
60750,9887053,A2780,0.06811637
5311497,6710780,A2780,0.06850563
3385,36314,A2780,0.06863329
5746,126941,A2780,0.06852412
36314,426756,A2780,0.06851387
60700,60750,A2780,0.06822294
4091,60700,A2780,0.06812802
3385,5311497,A2780,0.06872493
36462,60700,A2780,0.068370074
4091,36314,A2780,0.06830439
36462,104842,A2780,0.06833082
60750,6710780,A2780,0.0684537
5311497,9887053,A2780,0.06816833
2907,60750,A2780,0.06810645
31703,5311497,A2780,0.06883699
3385,60750,A2780,0.068460144
3385,5743,A2780,0.0685052
104842,126941,A2780,0.06838034
4091,5311497,A2780,0.06839608
104842,5311497,A2780,0.06859339
31703,426756,A2780,0.0685365
4091,60750,A2780,0.06813127
4091,5743,A2780,0.068176314
2907,9887053,A2780,0.067891255
5743,60700,A2780,0.06857862
6710780,9887053,A2780,0.06822266
36314,9887053,A2780,0.068334386
60750,126941,A2780,0.0683833
5746,9887053,A2780,0.06825718
126941,6710780,A2780,0.06831291
36314,6710780,A2780,0.06867176
4091,9887053,A2780,0.06791605
60700,426756,A2780,0.06818727
36314,60750,A2780,0.06854959
31703,104842,A2780,0.06852971
5746,60750,A2780,0.068472415
2907,426756,A2780,0.06807074
5746,5311497,A2780,0.06873721
2907,126941,A2780,0.06815815
36314,126941,A2780,0.068601295
5743,104842,A2780,0.06853935
5746,36314,A2780,0.06864554
5746,60700,A2780,0.06846915
36314,104842,A2780,0.06850709
4091,126941,A2780,0.06818296
2907,31703,A2780,0.0681547
2907,3385,A2780,0.06775901
31703,126941,A2780,0.068623945
36314,60700,A2780,0.068546325
3385,9887053,A2780,0.06824496
3385,36462,A2780,0.068509325
4091,31703,A2780,0.0681795
4091,36462,A2780,0.06818044
2907,5743,A2780,0.06815149
426756,9887053,A2780,0.06830162
2907,104842,A2780,0.06806393
5743,5746,A2780,0.06858204
5743,60750,A2780,0.06858184
4091,6710780,A2780,0.06825341
36462,126941,A2780,0.06842503
3385,31703,A2780,0.06850841
3385,104842,A375,0.06831747
60750,104842,A375,0.06818889
31703,6710780,A375,0.06859417
36314,5311497,A375,0.06871421
3385,4091,A375,0.06797357
5746,6710780,A375,0.06849437
126941,9887053,A375,0.067875355
31703,36314,A375,0.06864517
3385,126941,A375,0.06841169
5743,9887053,A375,0.068266466
31703,60700,A375,0.06846875
4091,5746,A375,0.06803125
5746,36462,A375,0.06842138
4091,426756,A375,0.06799534
104842,6710780,A375,0.06835055
5746,104842,A375,0.06832969
